ID,text,label,score
178,porque mi esposo queria que me fuera de la casa y constantemente me lo pedia.,NEGATIVE,0.8242611289024353
211,"i live in a very dangerous community that is subject to violent crimes and shootings very often. i am also a victim of frequent harassment in the apartment complex i live in, which affects my safety.",NEGATIVE,0.8454763293266296
243,na,N/A,0.0
298,drug use and large parties from neighbors,NEGATIVE,0.975257396697998
377,"living with family member with schizophrenia bipolar disorder, not taking meds aggressive n abusive speecb",NEGATIVE,0.9574642777442932
521,fire was damaging to structural parts of thehouse. if an earthquake hit or a tornado this roof's coming down.,NEGATIVE,0.9982984662055969
577,"i live in a neighborhood that was safe but now is prostitution, gun shootings and my family is unsafe. it was a mistake to stay at unm, i could had gone somewhere better and they don't pay the faculty. i need a new computer and my department and cas say that i don't i have to lend mine to my wife because of her wrist and the voultures say no. they only finance 70% of what they used to do and they are just nazis.",NEGATIVE,0.9994884729385376
693,"i used to live in the war zone. the rent went up by 200.00 dollars, i witnessed a murder and needed to leave for financial and personal safety reasons.  i had to move in with my cousin until i could find something in my budget. i still live there as i cannot afford a decent apartment. so i can be asked to leave anytime and become homeless as i can't afford an apartment.",NEGATIVE,0.9952012300491333
723,por los altos costos no tener suficiente dinero para calentar mi hogar ya que el gas y los servicios bã¡sicos subieron mucho y no se puede completar para todo,NEGATIVE,0.96645188331604
942,crime,NEGATIVE,0.9936215281486511
954,i had open heart surgery and my now ex-husband is a hoarder. it was unsafe for me to return to the family home.,NEGATIVE,0.9991828799247742
988,evacuated due to wildfires,NEGATIVE,0.9871430993080139
1008,fires,NEGATIVE,0.9782644510269165
1030,too much human traffic in my area; lots of people who don't appear to live in this town,NEGATIVE,0.9985053539276123
1041,"multiple attempted break ins, drug dealers, neighbors having strange people around, violent & mentally ill living in the area. i had a stalker at one point",NEGATIVE,0.9926140308380127
1118,"nothing to do with people, but the fires made it necessary to evacuate.",NEGATIVE,0.9890545606613159
1177,"increase in crime and homelessness in our area, rent is way too damn high, and my wages have not increased",NEGATIVE,0.9996405839920044
1326,my husbandy,POSITIVE,0.9400501251220703
1441,"drug dealer in the neighborhood often brings high activity of guests that pose a threat to the rest of the area. high property crime, gun violence",NEGATIVE,0.9972654581069946
1531,mentally unstable roommate.,NEGATIVE,0.9927182197570801
1568,domestic violence,NEGATIVE,0.9969321489334106
1776,"landlords who are bullies, house has been poorly maintained and there is worry about faulty/damaged electric, gas, plumbing lines, etc.",NEGATIVE,0.9995249509811401
2226,i was afraid i was going to die,NEGATIVE,0.9982230067253113
2260,due to the panic of debt collectors,NEGATIVE,0.9950007796287537
2329,inflation,NEGATIVE,0.9965974688529968
2403,"i denpend on my spouse, and he can be verbally abusive.",NEGATIVE,0.9972413778305054
2409,"my teenage neighbor was engaging in marijuana dealing that culminated in a confrontation where he was threatened at gunpoint and his car was shot at fifty times. stray bullets struck my home and broke my window. he and his mother have since moved, and my neighborhood seems safer again. however, there has been an uptick in crime in the last months near unm campus that has made me feel unsafe overall.",NEGATIVE,0.9924718141555786
2410,i felt unsafe because there was violence involved and i went to the hospital for care. they provided shelter for me.,NEGATIVE,0.996545135974884
2431,because of the hermits peak/calf canyon fire,NEGATIVE,0.9843036532402039
2469,fighting with significate other,NEGATIVE,0.8650509119033813
2504,shootings and crime,NEGATIVE,0.9788045883178711
2574,my family. my ex.,POSITIVE,0.9924506545066833
2599,"we moved because we were afraid our landlord was going to sell the house out from under us, even though we were trying to buy the house ourselves - he was pricing us out and it was very stressful so luckily we were able to find another place we could afford and move to right away.",NEGATIVE,0.9832547903060913
2611,south side of town.,POSITIVE,0.9918562173843384
2617,i had to move in to the war zone and we here shootings everynight.,NEGATIVE,0.9956262111663818
2621,"my neighborhood has a lot of crime and homeless people.  our house only has basic door locks to keep people from breaking in; we've had our car broken into, strangers come into our yard, and once had to call the police to remove someone who climbed onto our roof and wouldn't leave.",NEGATIVE,0.9922946691513062
2639,had to stay with family on drugs and then was kicked out. afraid to live with any family or room mates now.,NEGATIVE,0.9995206594467163
2660,mental struggles,NEGATIVE,0.9930597543716431
2713,temperamental individuals sharing space made it hard to want to stay there.,NEGATIVE,0.9990041851997375
2738,i'd rather not,NEGATIVE,0.9980542659759521
2757,there is a lot of crime where i live. it can be scary sometimes with a lot of loud noises.,NEGATIVE,0.928959846496582
2785,can loose my room at any time so have no where to go.,NEGATIVE,0.9997500777244568
2966,"after being evicted my partner and i were staying with at his friend's house and they have expressed anti lgbt ideas, threatened us, and had guns in the open (not in a safe)",NEGATIVE,0.9969070553779602
3037,"my roommates car was stolen (no secure parking).
someone attempted to steal my catalytic converter.
a stranger broke into the apartment while my roommate and myself were at home.",POSITIVE,0.9994269609451294
3059,persistent nearby gunfire and a continuous stream of vagrants walking up and down my street looking for places to break into.,NEGATIVE,0.9865104556083679
